SYMBOL,NAME OF COMPANY,ISIN NUMBER
TILAK,Tilak Ventures Limited,INE026L01022
UNIJOLL,Unijolly Investments Company Limited,INE130N01010
WAGEND,Wagend Infra Venture Limited,INE786K01023
ELCIDIN,EL CID Investments Limited,INE927X01018
MEDIAONE,Mediaone Global Entertainment Limited,INE828I01019
HEALINV,Healthy Investments Limited,INE160N01017
SHRENTI,Shreenath Investment Company Limited,INE475V01012
MODWOOL,Modella Woollens Limited,INE380D01012
MODIPON,Modipon Limited,INE170C01019
SHRIDINE,Shri Dinesh Mills Limited-$,INE204C01024
SWADPOL,Swadeshi Polytex Limited,INE243N01029
SHRAJSYNQ,Shree Rajasthan Syntex Limited-$,INE796C01011
ZSATYASL,Satyam Silk Mills Limited,INE07MC01015
ELPROINTL,Elpro International Limited,INE579B01039
GEE,GEE Limited,INE064H01021
JYOTI,Jyoti Limited-$,INE511D01012
JSLINDL,JSL Industries Limited,INE581L01018
KAYCEEI,Kaycee Industries Limited,INE813G01023
INDOKEM,Indokem Limited,INE716F01012
PANAENERG,Panasonic Energy India Company Limited-$,INE795A01017
PERMAGN,Permanent Magnets Limited-$,INE418E01018
HIGHENE,High Energy Batteries India Limited,INE783E01023
STDBAT,Standard Batteries Limited,INE502C01039
DLTNCBL,Delton Cables Limited,INE872E01016
LAKSELEC,Lakshmi Electrical Control Systems Limited,INE284C01018
MODULEX,Modulex Construction Technologies Limited,INE064R01012
LONGSPUR,Longspur International Ventures Limited,INE180M01033
EMPOWER,Empower India Limited,INE507F01023
ZMULTIPU,Multipurpose Trading & Agencies Limited,INE017P01014
RIDHISYN,Ridhi Synthetics Limited,INE07LK01010
GRANDMA,Grandma Trading & Agencies Limited ,INE927M01029
ZARDIINV,Ardi Investments & Trading Company Limited,INE0LKP01014
SOFTBPO,Softbpo Global Services Limited,INE459E01012
NYSSACORP,Nyssa Corporation Limited,INE812K01027
FLOMIC,Flomic Global Logistics Limited,INE952M01019
KRISHNA,Krishna Ventures Limited,INE537L01010
SJCORP,SJ Corporation Limited,INE312B01027
UNIABEXAL,Uni Abex Alloy Products Limited,INE361D01012
BGWTATO,Bhagwati Autocast Limited,INE106G01014
BOMBWIR,Bombay Wire Ropes Limited,INE089T01023
GALADA,Galada Power & Telecommunication Limited,INE255C01026
AZADIND,Azad India Mobility Limited,INE566M01017
INLCM,Indian Link Chain Manufacturers Limited,INE359D01024
INVPRECQ,Investment & Precision Castings Limited,INE155E01016
INFORTEC,Informed Technologies India Limited,INE123E01014
KAIRA,Kaira Can Company Limited,INE375D01012
NATIONSTD,National Standard (India) Limited,INE166R01015
RATHIST,Rathi Steel & Power Limited-$,INE336C01016
DUNCANENG,Duncan Engineering Limited-$,INE340F01011
STOVACQ,Stovec Industries Limited,INE755D01015
ZWELCAST,Welcast Steels Limited,INE380G01015
WMINIMT,Western Ministil Limited,INE187U01015
AUTOPRD,Automobile Products of India Limited,INE0NY101012
ACGL,Automobile Corporation of Goa Limited-$,INE451C01013
ZFSTEERING,ZF Steering Gear India Limited-$,INE116C01012
JAINEX,Jainex Aamcol Limited,INE280F01019
ALFREDHE,Alfred Herbert India Limited,INE782D01027
VELJAN,Veljan Denison Limited,INE232E01013
GGDPROP,G. G. Dandekar Properties Limited,INE631D01026
TULIVE,Tulive Developers Limited,INE637D01015
KPT,KPT Industries Limited,INE731D01024
LAKSHMIEW,Lakshmi Engineering And Warehousing Limited,INE718M01022
HARSHILAGR,Harshil Agrotech Limited,INE098E01026
MONOT,Monotype India Limited ,INE811D01024
INTEGRAEN,Integra Engineering India Limited,INE984B01023
PSITINFRA,PS IT Infrastructure & Services Limited,INE953M01033
GHVINFRA,GHV Infra Projects Limited,INE809Q01020
SHYMINV,Shyamkamal Investments Limited ,INE203N01015
ZHEMHOLD,Hem Holdings & Trading Limited,INE721U01011
MAHACORP,Maharashtra Corporation Limited,INE272E01027
ZKOVALIN,Kovalam Investment & Trading Company Limited ,INE735U01011
MULTIIN,Multiplus Holdings Limited,INE886E01016
SKYLMILAR,Skyline Millars Limited,INE178E01026
BIMETAL,Bimetal Bearings Limited-$,INE469A01019
TAPARIA,Taparia Tools Limited,INE614R01014
BRADYM,Brady & Morris Engineering Company Limited,INE856A01017
LATIMMETAL,La Tim Metal & Industries Limited,INE501N01020
GRAUWEIL,Grauer & Weil India Limited-$,INE266D01021
HIMTEK,Him Teknoforge Limited,INE705G01021
HERCULES,Hercules Investments Limited,INE688E01024
SINGER,Singer India Limited,INE638A01035
INTLCOMBQ,International Combustion India Limited,INE403C01014
JOSTS,Josts Engineering Company Limited,INE636D01041
ROLCOEN,Rolcon Engineering Company Limited,INE775R01013
SNL,SNL Bearings Limited,INE568F01017
JAIPAN,Jaipan Industries Limited,INE058D01030
WPIL,WPIL Limited,INE765D01022
KENNAMET,Kennametal India Limited-$,INE717A01029
HINDHARD,Hindustan Hardy Limited,INE724D01011
TRITONV,Triton Valves Limited,INE440G01017
SUDAI,Sudal Industries Limited,INE618D01015
HVL,Hariyana Ventures Limited,INE219D01012
ZPRBHSTE,Prabhu Steel Industries Limited,INE821R01015
STANROS,Stanrose Mafatlal Investments & Finance Limited,INE441L01015
ALNATRD,Alna Trading & Exports Limited,INE07I701011
VOLKAI,Kairosoft AI Solutions Limited,INE820M01018
PARNAXLAB,Parnax Lab Limited,INE383L01019
GOURMET,Gourmet Gateway India Limited,INE512D01028
ISHWATR,Ishwarshakti Holdings & Traders Limited,INE073I01012
TERRAFORM,Terraform Magnum Limited,INE122V01010
APIS,Apis India Limited,INE070K01014
VELOX,Velox Shipping and Logistics Limited,INE092P01017
EMERGENT,Emergent Industrial Solutions Limited,INE668L01013
GCKL,Galaxy Cloud Kitchens Limited-$,INE403B01016
ZSARVAMA,Sarvamangal Mercantile Company Limited ,INE978L01016
STARSOURCE,Star Source Multi Trade Limited,INE320M01019
FERMENTA,Fermenta Biotech Limited,INE225B01021
JAYCH,Jayshree Chemicals Limited,INE693E01016
KELENRG,KELTECH Energies Limited,INE881E01017
KEMP,Kemp & Company Limited,INE060E01018
NITTAGELA,Nitta Gelatin India Limited-$,INE265B01019
MPAGI,MP Agro Industries Limited,INE468C01017
AGVENTURES,AG Ventures Limited-$,INE321D01016
PBGLOBAL,PB Global Limited,INE615W01011
AMAL,Amal Limited,INE841D01013
POLYCHEM,Polychem Limited,INE752B01024
ZR2,ZR2 Bioenergy Limited,INE218N01021
ULTRAMAR,Ultramarine & Pigments Limited-$,INE405A01021
TRANSPEK,Transpek Industry Limited-$,INE687A01016
MYSORPETRO,Mysore Petro Chemicals Limited-$,INE741A01011
TUTIALKA,Tuticorin Alkali Chemicals And Fertilizers Limited,INE400A01014
TANFACIND,TANFAC Industries Limited-$,INE639B01015
GUJPETR,Gujarat Petrosynthese Limited,INE636P01011
SWADEIN,Swadeshi Industries & Leasing Limited,INE716M01034
SCBL,Saptak Chem And Business Limited,INE467X01023
MAKERSL,Makers Laboratories Limited-$,INE987A01010
CONTCHM,Continental Chemicals Limited,INE423K01015
IGLFXPL-B,Indo Gulf Industries Limited,INE684U01011
ADVPETR-B,Advance Petrochemicals Limited,INE334N01018
RAJSPTR,Rajasthan Petro Synthetics Limited,INE374C01017
APTPACK,Apt Packaging Limited,INE046E01025
BLUECHIPT,Bluechip Tex Industries Limited,INE472D01017
JAGAJITIND,Jagatjit Industries Limited,INE574A01016
KESARENT,Kesar Enterprises Limited-$,INE133B01027
EMERALL,Emerald Leisures Limited,INE044N01021
RAVALSUGAR,The Ravalgaon Sugar Farm Limited,INE615A01025
KFBL,Kothari Fermentation & Biochem Limited,INE991B01010
CAPRO,Caprolactam Chemicals Limited,INE470N01010
PICCASUG,Piccadily Sugar & Allied Industries Limited,INE544C01023
CJGEL,CJ Gelatine Products Limited,INE557D01015
THAKKERS,Thakkers Group Limited,INE04VT01017
CORAGRO,Coromandel Agro Products & Oils Limited,INE495D01018
KLRFM,Kovilpatti Lakshmi Roller Flour Mills Limited,INE014E01015
OLYOI,Olympic Oil Industries Limited,INE286E01019
MLKFOOD,Milkfood Limited,INE588G01021
POLSON,Polson Limited,INE339F01021
SIGNGCL,Signature Green Corporation Limited,INE131O01024
ORIBEVER,Orient Beverages Limited,INE247F01018
TGVSL,TGV Sraac Limited,INE284B01028
LIMECHM,Lime Chemicals Limited,INE891G01011
UNTTEMI,United Leasing & Industries Limited,INE357P01014
NOL,National Oxygen Limited,INE296D01010
WIREFABR,Wires & Fabriks SA Limited,INE469D01013
ANSALHSG,Ansal Housing Limited-$,INE880B01015
COMPUPN,Computer Point Limited,INE607B01012
MCCHRLS-B,Mac Charles India Limited,INE435D01014
ADDIND,Addi Industries Limited-$,INE757C01021
PIONRINV,Pioneer Investcorp Limited,INE746D01014
ASHNOOR,Ashnoor Textile Mills Limited,INE372I01018
LKPFIN,LKP Finance Limited,INE724A01017
EASTBUILD,East Buildtech Limited,INE706N01017
MNPLFIN,Manipal Finance Corporation Limited,INE798E01013
BAJAJST,Bajaj Steel Industries Limited,INE704G01024
KIDUJA,Kiduja India Limited,INE845A01028
KEYCORP,Key Corporation Limited,INE130F01016
SHIKHARLETR,Shikhar Leasing & Trading Limited,INE02BV01019
GUJHOTE,Gujarat Hotels Limited,INE621C01011
FYNX,Fynx Capital Limited,INE455H01013
RASRESOR,Ras Resorts & Apart Hotels Limited,INE651D01016
JOLYPLS,Jolly Plastic Industries Limited,INE289M01016
PARMCOS-B,Paramount Cosmetics India Limited,INE143I01013
JINDHOT,Jindal Hotels Limited,INE726D01016
JPTRLES,Jupiter Industries & Leasing Limited,INE990E01016
SIMMOND,Simmonds Marshall Limited,INE657D01021
BNALimited,B & A Limited,INE489D01011
HAWKINCOOK,Hawkins Cookers Limited-$,INE979B01015
WARRENTEA,Warren Tea Limited-$,INE712A01012
COCHMAL,Cochin Malabar Estates & Industries Limited,INE788M01017
BESTEAST,Best Eastern Hotels Limited,INE553F01035
NEAGI,Neelamalai Agro Industries Limited,INE605D01012
ISTLimited,I S T Limited,INE684B01029
NEWMKTADV,New Markets Advisory Limited,INE800K01014
NITINCAST,Nitin Castings Limited,INE861H01020
NEXOME,Nexome Capital Markets Limited,INE641A01013
IRONWOOD,Ironwood Education Limited,INE791H01011
MSRINDIA,MSR India Limited,INE331L01026
PANCARBON,Panasonic Carbon India Company Limited-$,INE013E01017
HBLEAS,HB Leasing & Finance Company Limited,INE549B01016
SHRICON,Shricon Industries Limited,INE753D01010
TRUSTWAVE,Trustwave Securities Limited,INE668Y01016
SULABEN,Sulabh Engineers & Services Limited,INE673M01029
FRONTCAP,Frontier Capital Limited,INE977E01013
KEDIACN,Kedia Construction Company Limited ,INE511J01027
TRANOCE,Transoceanic Properties Limited,INE074J01018
THAKRAL,Thakral Services India Limited,INE190F01028
GOLDLEG,Golden Legand Leasing & finance Limited,INE088E01019
VJTFEDU,VJTF Eduservices Limited,INE117F01013
VOLLF,Voltaire Leasing & Finance Limited ,INE763D01019
NETLINK,Netlink Solutions India Limited,INE040F01033
TRILIANCE,Triliance Polymers Limited,INE778N01016
INDINFO,Indian Infotech & Software Limited,INE300B01022
BANASFN,Banas Finance Limited,INE521L01030
HATHWAYB,Hathway Bhawani Cabletel & Datacom Limited,INE525B01016
PHOTON,Photon Capital Advisors Limited,INE107J01016
INDAG,Indag Rubber Limited-$,INE802D01023
MMRUBBR-B,MM Rubber Company Limited,INE159E01026
SEL,Sanathnagar Enterprises Limited,INE367E01033
BENARAS,Benares Hotels Limited,INE664D01019
BHAGWOX,Bhagawati Oxygen Limited,INE026I01010
BOMOXY-B1,Bombay Oxygen Investments Limited,INE01TL01014
CRAVATEX,Cravatex Limited,INE145E01017
CAPRIHANS,Caprihans India Limited-$,INE479A01018
EMPIND,Empire Industries Limited,INE515H01014
GRAVISSHO,Graviss Hospitality Limited,INE214F01026
GARWAMAR,Garware Marine Industries Limited,INE925D01014
HARDCAS,Hardcastle & Waud Manufacturing Company Limited,INE722D01015
ZHINDHSG,Hindustan Housing Company Limited ,INE083O01019
KOTIC,Kothari Industrial Corporation Limited,INE972A01020
MODRNSH,Modern Shares & Stockbrokers Limited,INE370A01019
MAPROIN,Mapro Industries Limited,INE848M01019
OSEASPR,Oseaspre Consultants Limited,INE880P01015
PREMSYN,Premier Synthetics Limited,INE940N01012
RJSHAH,RJ Shah & Company Limited,INE712Z01019
SHAHCON,Shah Construction Company Limited,INE02C301011
SINNAR,Sinnar Bidi Udyog Limited,INE896E01023
HINDMILL,Hindoostan Mills Limited,INE832D01020
ZSOUTGAS,Southern Gas Limited,INE532U01012
TECHCON,Technojet Consultants Limited,INE881P01013
THACKER,Thacker & Company Limited,INE077P01034
TRADWIN,Trade Wings Limited,INE961E01017
UPHOT,UP Hotels Limited,INE726E01014
SWASTIVI,Swasti Vinayaka Synthetics Limited,INE804A01025
MADHUSE,Madhusudan Securities Limited,INE856D01011
YAMNINV,Yamini Investments Company Limited,INE457N01025
PREMCAP,Premier Capital Services Limited,INE946K01023
ZMILGFIN,Milgrey Finance & Investments Limited,INE679T01013
KUSUMEL,Kusam Electrical Industries Limited,INE175Q01018
JUMBFNL,Jumbo Finance Limited,INE122N01017
SAKTHIFIN,Sakthi Finance Limited,INE302E01014
EASYFIN,Easy Fincorp Limited,INE407F01018
JMDVL,JMD Ventures Limited,INE047E01031
TVOLCON,Tivoli Construction Limited,INE747V01014
VBDESAI,V B Desai Financial Services Limited,INE848D01018
QUADRANT,Quadrant Televentures Limited-$,INE527B01020
1STCUS,First Custodian Fund India Limited,INE609B01018
KAMANWALA,Kamanwala Housing Construction Limited,INE344D01018
WSFX,WSFx Global Pay Limited,INE549D01012
ANJANIFOODS,Anjani Foods Limited,INE096I01021
RKDAGRRTL,RKD Agri & Retail Limited,INE552N01023
PARSHWANA,Parshwanath Corporation Limited,INE635I01018
RAJVI,Rajvi Logitrade Limited,INE381N01019
MILLENNIUM,Millennium Online Solutions ( India ) Limited,INE570N01025
MUNCAPM,Munoth Capital Markets Limited,INE910G01027
BOMTALKIES,Bombay Talkies Limited,INE910D01024
SAGARSYST,Sagar Systech Limited,INE771Z01015
ICONIKSPEV,Iconik Sports And Events Limited,INE088P01015
INDCEMCAP,India Cements Capital Limited,INE429D01017
ADMANUM,Ad-Manum Finance Limited,INE556D01017
MEHIF,Mehta Integrated Finance Limited,INE240B01012
INTRGLB,Inter Globe Finance Limited,INE661M01016
MCLimited,Munoth Communication Limited,INE410E01015
SHRISTI,Shristi Infrastructure Development Corporation Limited,INE472C01027
GUJCRED,Gujarat Credit Corporation Limited,INE034B01019
SYLPH,Sylph Industries Limited,INE706F01021
DHARFIN,Dharani Finance Limited,INE899D01011
ALEXANDER,Alexander Stamps And Coin Limited,INE191N01012
SHRYDUS,Shrydus Industries Limited,INE488C01015
BHARAT,Bharat Bhushan Finance & Commodity Brokers Limited,INE900A01013
USHAKIRA,Ushakiran Finance Limited,INE697C01011
VIVOBIOT,Vivo Bio Tech Limited,INE380K01017
VEERHEALTH,Veerhealth Care Limited,INE882C01035
PANINDIAC,Pan India Corporation Limited,INE376A01032
SAHARAHOUS,Sahara Housingfina Corporation Limited,INE135C01012
NDASEC,NDA Securities Limited,INE026C01013
SUPRATRE,Supra Trends Limited,INE533B01028
GSBFIN,GSB Finance Limited,INE777C01011
MORARKFI,Morarka Finance Limited,INE367A01015
PROFINC,Pro Fin Capital Services Limited,INE732K01027
SANCF,Sanchay Finvest Limited,INE654D01010
SODFC,Som Datt Finance Corporation Limited,INE754C01010
SAVFI,Savani Financials Limited,INE304E01010
BEFOUNDMOL,Befound Movement Limited,INE425F01028
LIBORDFIN,Libord Finance Limited,INE212B01011
YASHMGM,Yash Management & Satellite Limited,INE216B01012
ISLCONSUL,ISL Consulting Limited,INE569B01022
RRFIN,RR Financial Consultants Limited,INE229D01011
FEDDERSHOL,Fedders Holding Limited,INE417D01020
OLYMTFI,Olympic Management & Financial Services Limited,INE091N01014
DJSSS,DJS Stock & Shares Limited,INE234E01027
OMEGAIN,Omega Interactive Technologies Limited,INE113B01029
SUGALDAM,Sugal & Damani Share Brokers Limited,INE309D01011
NETTLINX,Nettlinx Limited,INE027D01019
BGIL,BGIL Films & Technologies Limited,INE443D01018
SCANSTL,Scan Steels Limited,INE099G01011
AJCON,Ajcon Global Services Limited,INE759C01027
CHRTEDCA,Chartered Capital & Investment Limited,INE953B01010
STANCAP,Standard Capital Markets Limited,INE625D01028
YOGI,YOGI Limited,INE290E01011
CUBIFIN,Cubical Financial Services Limited,INE717D01023
RELICTEC,Relic Technologies Limited,INE452B01013
NIMBSPROJ,Nimbus Projects Limited,INE875B01015
INVIGO,Invigorated Business Consulting Limited,INE359A01012
KZLFIN,KZ Leasing & Finance Limited,INE006C01015
RFL,Ruparel Food Products Limited,INE239B01014
SAHLIBHFI,Shalibhadra Finance Limited,INE861D01011
ABIRAFN,Abirami Financial Services India Limited,INE195I01013
MANSIFIN,Mansi Finance (Chennai) Limited,INE094E01017
AASTAFIN,Aastamangalam Finance Limited,INE819K01014
ZNILKENG,Nilkanth Engineering Limited,INE582V01015
SOBME,Sobhagya Mercantile Limited,INE754D01018
TTGIL,Tomorrow Technologies Global Innovations Limited,INE135H01029
ZSARACOM,Saraswati Commercial India Limited,INE967G01019
WINROC,Winro Commercial India Limited,INE837E01019
BANGANGA,Banganga Paper Industries Limited,INE767M01029
VEGA,Vega Jewellers Limited,INE603D01017
KAPILCO,Kapil Cotex Limited,INE393H01016
TCC,TCC Concept Limited,INE887D01016
ROYALIND,Royal India Corporation Limited,INE510H01015
DHANSAFAL,Dhansafal Finserve Limited,INE195E01020
SHYAM,Ventura Guaranty Limited,INE139J01019
ZSANMCOM,Sanmitra Commercial Limited,INE896J01014
VISVEN,Vishvprabha Ventures Limited,INE762D01011
MRUTR,Mrugesh Trading Limited,INE738D01029
DECNGOLD,Deccan Gold Mines Limited,INE945F01025
NIBEORD,Nibe Ordnance and Maritime Limited,INE425H01016
CRANESSOFT,Cranes Software International Limited,INE234B01023
SAICOM,Saianand Commercial Limited,INE092G01024
EY,Eyantra Ventures Limited,INE750G01019
TRIPR,Triochem Products Limited,INE331E01013
NIDHGRN,Nidhi Granites Limited,INE276H01013
AVIVA,Aviva Industries Limited,INE461H01011
ROSEMER,Rose Merc Limited,INE649C01012
TWIROST,Twin Roses Trades & Agencies Limited,INE436U01016
KAJALSY,Kajal Synthetics & Silk Mills Limited,INE956V01011
AVANCE,Avance Technologies Limited,INE758A01072
MLINDLimited,M Lakhamsi Industries Limited,INE808W01012
TERRAREAL,Terraform Realstate Limited,INE123V01018
ABANSENT,Abans Enterprises Limited,INE365O01028
VAMA,Vama Industries Limited,INE685D01022
BENTCOM,Bentley Commercial Enterprises Limited,INE496M01017
SILVERO,Silveroak Commercials Limited,INE798C01017
CLASELE,Classic Electricals Limited,INE02BR01017
PRISMMEDI,Prism Medico and Pharmacy Limited,INE730E01016
SPVGLOBAL,SPV Global Trading Limited,INE177E01010
VERITAS,Veritas (India) Limited,INE379J01029
ZNIVITRD,Nivi Trading Limited,INE552F01011
ASHCAP,Ashirwad Capital Limited,INE894A01026
SVARTCORP,Swasti Vinayaka Art And Heritage Corporation Limited,INE895A01023
BAJGLOB,Bajaj Global Limited,INE553H01015
AVONMERC,Avon Mercantile Limited,INE471D01019
MMWL,Media Matrix Worldwide Limited,INE200D01020
TASHIND,Tashi India Limited,INE552H01017
AUTOINT,Autoriders International Limited,INE340U01010
ZSPEEDCO,Speedage Commercials Limited,INE497M01015
SHANTAI,Shantai Industries Limited,INE408F01024
CHMBBRW,Chambal Breweries & Distilleries Limited,INE417N01011
ZMANSOON,Mansoon Trading Company Limited,INE776V01013
ARAVALIS,Aravali Securities & Finance Limited,INE068C01015
YASTF,Yash Trading & Finance Limited,INE745A01012
CUPIDALBV,Cupid Breweries And Distilleries Limited,INE108G01010
ZSHERAPR,Sheraton Properties & Finance Limited,INE495M01019
MAGANTR,Magnanimous Trade & finance Limited,INE664N01018
CRSL,Cressanda Railway Solutions Limited,INE716D01033
SHARDUL,Shardul Securities Limited,INE037B01020
SERA,Sera Investments & Finance India Limited,INE017I01027
BENGALS,Bengal Steel Industries Limited,INE523W01017
UNIWSEC,Uniworth Securities Limited,INE728J01019
MERCTRD,Mercury Trade Links Limited,INE319T01016
NIRAVCOM,Nirav Commercials Limited,INE242B01018
WHITHAL,White Hall Commercial Company Limited,INE416X01012
ASUTENT,Asutosh Enterprise Limited,INE508W01018
APOLLOFI,Apollo Finvest India Limited,INE412D01013
ESQRMON,Esquire Money Guarantees Limited,INE0HMN01013
ENBETRD,Enbee Trade & Finance Limited,INE993I01029
GANONPRO,Ganon Products Limited,INE162L01017
DEVITRD,Devinsu Trading Limited,INE07LH01016
SHRJAGP,Shri Jagdamba Polymers Limited,INE564J01026
PUNCTRD,Punctual Trading Limited,INE07NX01019
BETXIND,Betex India Limited,INE765L01017
VIRYA,Virya Resources Limited,INE661K01010
DHANCOT,Dhanlaxmi Cotex Limited,INE977F01010
OASISEC,Oasis Securities Limited,INE876A01023
GARNETINT,Garnet International Limited,INE590B01010
SHALPRO,Shalimar Productions Limited,INE435E01020
MEENST,Meenakshi Steel Industries Limited,INE721V01019
VARUNME,Varun Mercantile Limited,INE442U01014
VINVANI,Vinayak Vanijya Limited,INE132V01019
SUPER,Super Sales India Limited-$,INE091C01017
NEELKANTH,Neelkanth Limited-$,INE581D01015
ZODJRDMKJ,Zodiac-JRD-MKJ Limited,INE077B01018
SITAENT,Sita Enterprises Limited,INE579D01019
PULSRIN,Pulsar International Limited,INE183U01022
MANBRO,Manbro Industries Limited,INE348N01034
ASTALLimited,Astal Laboratories Limited,INE307N01014
HARIAEXPO,Haria Exports Limited-$,INE772B01014
RLF,RLF Limited,INE629C01014
REGENTRP,Regent Enterprises Limited,INE769D01016
SAVERA,Savera Industries Limited,INE104E01014
CHROME,Chrome Silicon Limited-$,INE114E01013
ZJEETMAC,Jeet Machine Tools Limited,INE987E01012
ZHINUDYP,Hindusthan Udyog Limited,INE582K01018
REMIEDEL,Remi Edelstahl Tubulars Limited,INE158G01015
GSAUTO,GS Auto International Limited,INE736H01024
TRANSFRE,Trans Freight Containers Limited,INE360D01014
AMFORG,Amforge Industries Limited,INE991A01020
ACROW,Acrow India Limited,INE950D01012
STLSTRINF,Steel Strips Infrastructures Limited,INE205F01016
JAYUSH,Jay Ushin Limited,INE289D01015
IMEC,Imec Services Limited,INE611C01020
MDRNSTL,Modern Steels Limited-$,INE001F01019
SYNTHFO,Synthiko Foils Limited,INE363L01045
GOLKONDA,Golkonda Aluminium Extrusions Limited-$,INE327C01031
GUJTLRM,Gujarat Toolroom Limited,INE145J01032
COCHINM,Cochin Minerals & Rutiles Limited-$,INE105D01013
INDIAHOMES,India Homes Limited,INE072A01029
KVFORGE,Krishanveer Forge Limited,INE013J01016
VALLABHSQ,Vallabh Steels Limited-$,INE457E01016
SMFIL,Smiths & Founders (India) Limited,INE728B01032
BLOIN,Bloom Industries Limited,INE373E01015
MAITRI,Maitri Enterprises Limited,INE501L01024
ELANGO,Elango Industries Limited,INE594D01018
KANSHST,Kanishk Steel Industries Limited,INE791E01018
MAHALXSE,Mahalaxmi Seamless Limited-$,INE257F01017
SIMPLEXCAS,Simplex Castings Limited,INE658D01011
SSWRL,Shree Steel Wire Ropes Limited,INE387D01025
SIZEMASTER,Sizemasters Technology Limited,INE235U01012
SOUTHMG,Southern Magnesium & Chemicals Limited,INE308N01012
BAROEXT,Baroda Extrusion Limited,INE927K01023
GUJCONT,Gujarat Containers Limited,INE276I01011
PANCHMAHQ,Panchmahal Steel Limited,INE798F01010
ADITYA,Aditya Ispat Limited,INE570B01012
GLITTEKG,Glittek Granites Limited,INE741B01027
PRADPME,Pradeep Metals Limited,INE770A01010
GNRL,Gujarat Natural Resources Limited,INE207H01018
TNSTLTU,Tamilnadu Steel Tubes Limited,INE176E01012
SHRDAIS,Sharda Ispat Limited,INE385M01012
NOVIS,Nova Iron & Steel Limited,INE608C01026
STERPOW,Sterling Powergensys Limited,INE067E01013
FFPL,Foundry Fuel Products Limited,INE617C01027
TULSYAN,Tulsyan NEC Limited-$,INE463D01016
AXELPOLY,Axel Polymers Limited,INE197C01012
SPECTRA,Spectra Industries Limited,INE848B01012
KAJARIR,KIC Metaliks Limited,INE434C01027
SOLIDSTON,Solid Stone Company Limited,INE584G01012
SHILGRAVQ,Shilp Gravures Limited-$,INE960A01017
WHITEORG,White Organic Agro Limited,INE146C01019
MFSINTRCRP,MFS Intercorp Limited,INE614F01019
RUDRAECO,Rudra Ecovation Limited,INE723D01021
RAJKSYN,Rajkamal Synthetics Limited,INE376L01013
DEEPAKSP,Deepak Spinners Limited-$,INE272C01013
NEWTRAC,Newtrac Foods & Beverages Limited,INE229N01010
PBMPOLY,PBM Polytex Limited-$,INE501F01018
ADINATH,Adinath Textiles Limited,INE207C01019
KONARKSY,Konark Synthetic Limited,INE517D01019
SURYALA,Suryalata Spinning Mills Limited-$,INE132C01027
INDIANACRY,Indian Acrylics Limited,INE862B01013
CEETAIN,Ceeta Industries Limited,INE760J01012
RISHYRN,Rishab Special Yarns Limited,INE351D01013
BLACKROSE,Black Rose Industries Limited,INE761G01016
STCORP,S & T Corporation Limited,INE110Q01023
RAMGOPOLY,Ramgopal Polytex Limited,INE410D01017
TTLEL,TTL Enterprises Limited,INE664X01025
MKVENTURES,Mkventures Capital Limited,INE874A01010
KUSHIND,Kush Industries Limited,INE979D01011
SRECR,Sreechem Resins Limited,INE377C01010
SURBHIN,Surbhi Industries Limited,INE899E01019
SEASONST,Seasons Textiles Limited-$,INE707B01010
ZENIFIB,Zenith Fibres Limited-$,INE106C01013
BHILSPIN,Bhilwara Spinners Limited,INE436C01014
SANTETX,Sanrhea Technical Textiles Limited,INE589J01015
VIPPYSP,Vippy Spinpro Limited,INE660D01017
JAIHINDS,Jaihind Synthetics Limited,INE156E01014
RAGHUSYN,Raghuvir Synthetics Limited,INE969C01022
JATTAINDUS,Jattashankar Industries Limited,INE722N01014
KAMADGIRI,Kamadgiri Fashion Limited-$,INE535C01013
OMNITEX,Omnitex Industries India Limited,INE814D01010
PATSPINLimited,Patspin India Limited,INE790C01014
ONEGLOBAL,One Global Service Provider Limited,INE670O01013
NEOINFRA,Neo Infracon Limited,INE216I01017
GENESIS,Genesis Ibrc India Limited,INE194N01016
EVERFIN,Everlon Financials Limited,INE339D01034
KRRAIL,K&R Rail Engineering Limited,INE078T01026
GUJCOTEX,Gujarat Cotex Limited,INE004C01028
GARWSYN,Garware Synthetics Limited,INE340D01016
ECOHOTELS,Eco Hotels And Resorts Limited,INE638N01012
SARUPINDUS,Sarup Industries Limited-$,INE305D01019
OXFORDIN,Oxford Industries Limited,INE114D01015
HINDADH,Hindustan Adhesives Limited,INE074C01013
BPAGRI,Blue Pearl Agriventures Limited,INE439N01031
SRIKPRIND,Sri KPR Industries Limited,INE009C01019
JYOTIRES,Jyoti Resins & Adhesives Limited,INE577D01013
SOUTLAT,Southern Latex Limited,INE410M01018
WINSOMTX,Winsome Textile Industries Limited-$,INE837B01031
MODINSU,Modern Insulators Limited,INE219W01012
SEKURITIND,Saint Gobain Sekurit India Limited,INE068B01017
MADHUDIN,Madhusudan Industries Limited,INE469C01023
RESTILE,Restile Ceramics Limited,INE298E01022
HALDYNGL,Haldyn Glass Limited-$,INE506D01020
DUROPLY,Duroply Industries Limited,INE932D01010
AGIOPAPER,Agio Paper & Industries Limited-$,INE112C01011
TAHMARENT,Tahmar Enterprises Limited,INE385D01029
SOMAPPR,Soma Papers & Industries Limited,INE737E01011
NATPLY,National Plywood Industries Limited,INE497C01016
JUMBO,Jumbo Bag Limited,INE699D01015
SANPA,Sangal Papers Limited,INE384D01022
